Business Name (DBA),Address1,Address2,City,State,Zip,Community Board,NAICS Code,Number of Worker-Owners,Number of Non-Member Worker-Owners,Subtype,Borough,Latitude,Longitude,City Council,Census Tract,BIN,BBL,NTA
Apple Eco-Cleaning,42-72 80th Street,,New York,NY,11373,4 QUEENS,Janitorial Services,6,1,Finance & Operations,QUEENS,40.742725,-73.885068,25,481,4037984,4015250047,Elmhurst
Apple Eco-Cleaning,42-72 80th Street,,New York,NY,11373,4 QUEENS,Janitorial Services,6,1,Internal Manuals,QUEENS,40.742725,-73.885068,25,481,4037984,4015250047,Elmhurst
Apple Eco-Cleaning,42-72 80th Street,,New York,NY,11373,4 QUEENS,Janitorial Services,6,1,Market Research,QUEENS,40.742725,-73.885068,25,481,4037984,4015250047,Elmhurst
Apple Eco-Cleaning,42-72 80th Street,,New York,NY,11373,4 QUEENS,Janitorial Services,6,1,Organizational Planning,QUEENS,40.742725,-73.885068,25,481,4037984,4015250047,Elmhurst
Apple Eco-Cleaning,42-72 80th Street,,New York,NY,11373,4 QUEENS,Janitorial Services,6,1,Support and Troubleshooting,QUEENS,40.742725,-73.885068,25,481,4037984,4015250047,Elmhurst
Apple Eco-Cleaning,42-72 80th Street,,New York,NY,11373,4 QUEENS,Janitorial Services,6,1,,QUEENS,40.742725,-73.885068,25,481,4037984,4015250047,Elmhurst
Artisan Sewing LLC,3703 62nd Street,2nd Floor,Queens,NY,11377,2 QUEENS,,,,Governance Consultation,QUEENS,40.748841,-73.900728,26,261,4027899,4012170047,Woodside
Artisan Sewing LLC,3703 62nd Street,2nd Floor,Queens,NY,11377,2 QUEENS,,,,Initial Consultation,QUEENS,40.748841,-73.900728,26,261,4027899,4012170047,Woodside
Artisan Sewing LLC,3703 62nd Street,2nd Floor,Queens,NY,11377,2 QUEENS,,,,Strategic Planning,QUEENS,40.748841,-73.900728,26,261,4027899,4012170047,Woodside
Bed-Stuy Fresh and Local,210 Patchen Avenue,,Brooklyn,NY,11233,3 BROOKLYN,Supermarkets and Other Grocery (except Convenience) Stores,2,2,Business Plan Development,BROOKLYN,40.683661,-73.92623,36,383,3338081,3016720042,Stuyvesant Heights
